09:40:00.946 [main] INFO  Resources.base - Located by By.chained({By.xpath: //XCUIElementTypeButton[@name='Skip']})or Located by By.chained({By.xpath: //XCUIElementTypeStaticText[contains(@name,'Identified')]}) Is Not There In The Application Screen
09:40:00.947 [main] INFO  Resources.base - Successfully converyed Array List To String And The String Value Is []
09:40:00.947 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - []
09:40:00.957 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - Unsceured wifiy is Not Present in the Ageas false
09:40:01.280 [main] INFO  Resources.base - Successfull Captcher the Screenshoot
09:40:01.306 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - ************ Closeing The Application *****************
09:40:02.381 [main] INFO  Resources.base - Successfully Closing The Application
09:40:02.431 [main] INFO  Ageas.AG005_Verify_App_Installation_Source_Popup - ************ Opening The Ageas Application *****************
09:40:04.386 [main] INFO  Resources.base - Successfully Opened The Application
09:40:04.391 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:40:05.238 [main] INFO  Resources.base - The Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@name='Welcome']}) is having the Welcome text
09:40:25.574 [main] INFO  Resources.base - Located by By.chained({By.xpath: //XCUIElementTypeButton[@name='Skip']})or Located by By.chained({By.xpath: //XCUIElementTypeStaticText[contains(@name,'Identified')]}) Is Not There In The Application Screen
09:40:25.574 [main] INFO  Resources.base - Successfully converyed Array List To String And The String Value Is []
09:40:25.577 [main] INFO  Resources.base - Data are written into the Properties file
09:40:46.224 [main] INFO  Resources.base - Successfull Captcher the Screenshoot
09:40:46.226 [main] INFO  Ageas.AG005_Verify_App_Installation_Source_Popup - ************ Closeing The Application *****************
09:40:47.278 [main] INFO  Resources.base - Successfully Closing The Application
09:40:47.306 [main] INFO  Ageas.AG006_Enabled_Device_Screen_Lock_Popup - ************ Opening The Setting Application *****************
09:40:49.507 [main] INFO  Resources.base - Successfully Opened The Application
09:40:49.510 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:40:49.510 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:40:49.662 [main] INFO  Ageas.AG006_Enabled_Device_Screen_Lock_Popup - ************ Setting The Password Free Device *****************
09:40:51.392 [main] INFO  Resources.base - The Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@label='Settings']}) is having the Settings text
09:41:14.882 [main] INFO  Resources.base - Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@name='Enter Passcode']}) Is Not Displayed In The Screen
09:41:14.882 [main] INFO  Ageas.AG006_Enabled_Device_Screen_Lock_Popup - ************ Opening The Ageas Application *****************
09:41:17.891 [main] INFO  Resources.base - Successfully Opened The Application
09:41:18.747 [main] INFO  Resources.base - The Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@name='Welcome']}) is having the Welcome text
09:41:39.124 [main] INFO  Resources.base - Located by By.chained({By.xpath: //XCUIElementTypeButton[@name='Skip']})or Located by By.chained({By.xpath: //XCUIElementTypeStaticText[contains(@name,'Identified')]}) Is Not There In The Application Screen
09:41:39.124 [main] INFO  Resources.base - Successfully converyed Array List To String And The String Value Is []
09:41:39.127 [main] INFO  Resources.base - Data are written into the Properties file
09:41:59.786 [main] INFO  Resources.base - Successfull Captcher the Screenshoot
09:41:59.787 [main] INFO  Ageas.AG006_Enabled_Device_Screen_Lock_Popup - ************ Closeing The Application *****************
09:42:00.868 [main] INFO  Resources.base - Successfully Closing The Application
